Method,N,Accuracy,Accuracy CI Lower,Accuracy CI Upper,Incorrect Rate,Incorrect Rate CI Lower,Incorrect Rate CI Upper,ECE,ECE CI Lower,ECE CI Upper,Brier Score,Brier Score CI Lower,Brier Score CI Upper,Avg Confidence,Avg Confidence CI Lower,Avg Confidence CI Upper,Selective Accuracy @ 0.7,Selective Accuracy @ 0.7 CI Lower,Selective Accuracy @ 0.7 CI Upper,Coverage @ 0.7,Coverage @ 0.7 CI Lower,Coverage @ 0.7 CI Upper
Direct Answer,140,0.7357142857142858,0.6642857142857143,0.8071428571428572,0.26428571428571423,0.19285714285714284,0.33571428571428574,0.26428571428571423,0.19285714285714284,0.33571428571428574,0.2642857142857143,0.19285714285714287,0.3357142857142857,1.0,1.0,1.0,0.7357142857142858,0.6642857142857143,0.8071428571428572,1.0,1.0,1.0
Verbal Confidence,140,0.6928571428571428,0.6142857142857143,0.7714285714285715,0.30714285714285716,0.22857142857142854,0.3857142857142857,0.18214285714285722,0.10568750000000016,0.2550357142857145,0.2355357142857143,0.17840803571428573,0.28958080357142857,0.875,0.861419642857143,0.8889285714285715,0.6928571428571428,0.6142857142857143,0.7714285714285715,1.0,1.0,1.0
Self-Consistency,140,0.75,0.6642857142857143,0.8214285714285714,0.25,0.1785714285714286,0.33571428571428574,0.35000000000000003,0.2785357142857143,0.42571428571428566,0.33742857142857147,0.2951357142857143,0.3820142857142857,0.45714285714285724,0.4128571428571428,0.5000357142857144,0.8076923076923077,0.6428571428571429,0.9565217391304348,0.18571428571428572,0.12142857142857143,0.25
Simple Self-Verification,140,0.7357142857142858,0.6642857142857143,0.8142857142857143,0.26428571428571423,0.18571428571428572,0.33571428571428574,0.1632142857142858,0.08927678571428582,0.23250000000000015,0.204625,0.1452745535714286,0.2582705357142857,0.8989285714285716,0.8842767857142858,0.9096517857142858,0.7410071942446043,0.6690647482014388,0.8188405797101449,0.9928571428571429,0.9714285714285714,1.0
CLAIM-CAL,140,0.7571428571428571,0.6857142857142857,0.8214285714285714,0.24285714285714288,0.1785714285714286,0.3142857142857143,0.2230751133786848,0.15949796626984142,0.2910780966553287,0.21644915219063818,0.1574297137750603,0.28025356103946203,0.9750479024943312,0.9623770833333332,0.9854390873015875,0.7608695652173914,0.6911192810457516,0.8273381294964028,0.9857142857142858,0.9642857142857143,1.0
CLAIM-CAL + Calibration,140,0.7571428571428571,0.6857142857142857,0.8285714285714286,0.24285714285714288,0.17142857142857137,0.3142857142857143,0.03386554621848709,0.021853028711484448,0.10788121498599428,0.15809456785165046,0.11795946103318779,0.20007068052251537,0.7587464985994395,0.7282371761204478,0.7864972864145656,0.8264462809917356,0.7558603330321415,0.8909724292101341,0.8642857142857143,0.8071428571428572,0.9214285714285714
