Method,N,Accuracy,Incorrect Rate,ECE,Brier Score,Avg Confidence,Selective Accuracy @ 0.7,Coverage @ 0.7
Ablation: No Calibration,140,0.7571428571428571,0.24285714285714288,0.2230751133786848,0.21644915219063818,0.9750479024943312,0.7608695652173914,0.9857142857142858
Ablation: No Claim Decomposition,140,0.7428571428571429,0.2571428571428571,0.17714285714285727,0.20732142857142857,0.8092857142857143,0.7916666666666666,0.8571428571428571
Ablation: No Contradiction Probe,140,0.7428571428571429,0.2571428571428571,0.2403061224489796,0.23242834872044052,0.976530612244898,0.7591240875912408,0.9785714285714285
Ablation: No Unknown Label,140,0.7642857142857142,0.23571428571428577,0.2161547619047619,0.21232117063492062,0.9804404761904761,0.7753623188405797,0.9857142857142858
