Method,N,Accuracy,Incorrect Rate,ECE,Brier Score,Avg Confidence,Selective Accuracy @ 0.7,Coverage @ 0.7
Direct Answer,140,0.7357142857142858,0.26428571428571423,0.26428571428571423,0.2642857142857143,1.0,0.7357142857142858,1.0
Verbal Confidence,140,0.6928571428571428,0.30714285714285716,0.18214285714285722,0.2355357142857143,0.875,0.6928571428571428,1.0
Self-Consistency,140,0.75,0.25,0.35000000000000003,0.33742857142857147,0.45714285714285724,0.8076923076923077,0.18571428571428572
Simple Self-Verification,140,0.7357142857142858,0.26428571428571423,0.1632142857142858,0.204625,0.8989285714285716,0.7410071942446043,0.9928571428571429
CLAIM-CAL,140,0.7571428571428571,0.24285714285714288,0.2230751133786848,0.21644915219063818,0.9750479024943312,0.7608695652173914,0.9857142857142858
CLAIM-CAL + Calibration,140,0.7571428571428571,0.24285714285714288,0.03386554621848709,0.15809456785165046,0.7587464985994395,0.8264462809917356,0.8642857142857143
